10 * 10 graph test1{
1--2 [weight=0.757684];
1--3 [weight=0.547867];
1--4 [weight=0.921374];
1--5 [weight=0.927118];
1--6 [weight=0.715738];
1--7 [weight=0.144400];
1--8 [weight=0.728882];
1--9 [weight=0.684076];
1--10 [weight=0.476317];
2--3 [weight=0.300370];
2--4 [weight=0.136129];
2--5 [weight=0.553965];
2--6 [weight=0.309498];
2--7 [weight=0.592374];
2--8 [weight=0.547404];
2--9 [weight=0.701002];
2--10 [weight=0.774876];
3--4 [weight=0.630912];
3--5 [weight=0.958584];
3--6 [weight=0.660732];
3--7 [weight=0.200957];
3--8 [weight=0.070409];
3--9 [weight=0.348809];
3--10 [weight=0.144775];
4--5 [weight=0.600343];
4--6 [weight=0.595727];
4--7 [weight=0.978421];
4--8 [weight=0.959136];
4--9 [weight=0.535563];
4--10 [weight=0.603559];
5--6 [weight=0.561429];
5--7 [weight=0.598230];
5--8 [weight=0.456100];
5--9 [weight=0.780379];
5--10 [weight=0.447524];
6--7 [weight=0.699757];
6--8 [weight=0.594711];
6--9 [weight=0.702270];
6--10 [weight=0.166512];
7--8 [weight=0.027114];
7--9 [weight=0.046727];
7--10 [weight=0.472965];
8--9 [weight=0.826091];
8--10 [weight=0.740276];
9--10 [weight=0.378004];
}
